AccidentUID,Unfalltyp,Unfallschwere,Fussgänger,Fahrrad,Motorrad,Strassentyp,Jahr,Monat,Wochentag,Stunde,Breitengrad,Längengrad,Datum
EF4A4035085402D2E0430A839427E2AD,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2013,11,Donnerstag,11,47.41145015680007,9.366495541935732,2013-11-01
ED3EEAA66FDF014AE0430A839427F196,Abbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2013,11,Freitag,14,47.42742094080175,9.374485095757596,2013-11-01
ED5433FDDA990170E0430A8394279BE0,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2013,11,Freitag,16,47.426503043920654,9.37610889837079,2013-11-01
ED441C9CF7B501FCE0430A8394279F8A,Abbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2013,11,Montag,18,47.39805416953188,9.296751574428464,2013-11-01
EF988DF2357600CAE0430A839427BF7F,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2013,12,Donnerstag,17,47.43694750539271,9.38793267101484,2013-12-01
EFEF731ABE1F0082E0430A839427CA22,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2014,1,Freitag,21,47.424867377036676,9.386708084361178,2014-01-01
F24E7D31D89D007CE0430A839427E3B9,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2014,1,Freitag,7,47.413709913696195,9.354502745258271,2014-01-01
F19319D763B000AAE0430A839427C67E,Tierunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2014,1,Montag,7,47.43181345551508,9.378118688508515,2014-01-01
F2C1123D77160134E0430A839427E08C,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2014,1,Montag,11,47.4426026871871,9.413602168205173,2014-01-01
F2D3D16EA94702D6E0430A839427E77F,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2014,1,Montag,16,47.41391130572845,9.31204354942881,2014-01-01
A04398BFC6BF40CEE0430A865E3340CE,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,False,False,True,Nebenstrasse,2011,3,Mittwoch,15,47.426439236884605,9.38632811789737,2011-03-01
A0BA6B6E090050C4E0430A865E3350C4,Parkierunfall,Unfall mit Leichtverletzten,False,False,False,Nebenstrasse,2011,3,Donnerstag,17,47.40881458359719,9.331094145570972,2011-03-01
A0BACF4ECC93A066E0430A865E33A066,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2011,4,Montag,12,47.43082693930269,9.39448365838804,2011-04-01
F67196634D2B010AE0430A83942731BE,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2014,2,Dienstag,13,47.423455682566605,9.37111949495192,2014-02-01
F7CADD4B375001F4E0430A8394278A0E,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2014,3,Montag,21,47.41328914103441,9.363579947082796,2014-03-01
F63436A0AB550078E0430A8394273FD1,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2014,3,Donnerstag,13,47.4099478299302,9.334407968221507,2014-03-01
F82C14949B060034E0430A83942798BE,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,True,Hauptstrasse,2014,3,Samstag,16,47.425290715603694,9.371676636186994,2014-03-01
F9844DFB9A8B0030E0430A839427E0C6,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2014,3,Dienstag,12,47.42647350913468,9.3767972133142,2014-03-01
